action_type,event_type,loc_x,loc_y,minutes_remaining,period,player_name,position,height,shot_distance,shot_made_flag,points,shot_type,shot_zone_basic,shot_zone_range,team_name
Jump Shot,Missed Shot,-226,75,8,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,23,0,0,3PT Field Goal,Left Corner 3,24+ ft.,Golden State Warriors
Pullup Jump shot,Missed Shot,-155,74,6,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,17,0,0,2PT Field Goal,Mid-Range,16-24 ft.,Golden State Warriors
Jump Shot,Missed Shot,-171,216,1,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,27,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Made Shot,-188,169,11,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,25,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Running Pull-Up Jump Shot,Missed Shot,26,254,9,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,25,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Driving Floating Bank Jump Shot,Missed Shot,-71,74,11,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,10,0,0,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,Golden State Warriors
Running Pull-Up Jump Shot,Missed Shot,131,236,10,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,26,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,-223,16,9,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,22,0,0,3PT Field Goal,Left Corner 3,24+ ft.,Golden State Warriors
Pullup Jump shot,Made Shot,24,164,2,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,16,1,2,2PT Field Goal,Mid-Range,16-24 ft.,Golden State Warriors
Reverse Layup Shot,Missed Shot,-4,9,11,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,0,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Golden State Warriors
Pullup Jump shot,Missed Shot,12,251,9,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,25,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Bank Shot,Made Shot,-30,15,8,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,3,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Golden State Warriors
Driving Finger Roll Layup Shot,Made Shot,-9,0,6,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Golden State Warriors
Running Layup Shot,Made Shot,-3,5,10,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Golden State Warriors
Pullup Jump shot,Made Shot,-188,166,10,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,25,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,-87,130,9,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,15,0,0,2PT Field Goal,Mid-Range,8-16 ft.,Golden State Warriors
Running Pull-Up Jump Shot,Missed Shot,-161,199,8,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,25,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Pullup Jump shot,Made Shot,142,140,1,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,19,1,2,2PT Field Goal,Mid-Range,16-24 ft.,Golden State Warriors
